fir_id,crime_type,district,police_station,reported_at,latitude,longitude,status,offender_id,victim_gender,victim_age,weapon_used,crime_hour,crime_day,crime_month,crime_year,is_weekend,festival,season,income_category,population_density,crime_frequency,repeat_offender_count,time_since_last_crime,previous_crimes_nearby,distance_from_police_station,historical_hotspot_score,risk_score,risk_level,threat_level,confidence_score,trend_score,seasonal_pattern,risk_zone,patrol_recommendation,day_night_indicator,crime_forecast
FIR-2025-00032,Robbery,Bengaluru Urban,Bengaluru Urban Central,2025-05-10 03:52:00,11.957404,76.21286,Under Investigation,OFF-1611,Unknown,53,Knife,3,10,5,2025,1,0,Summer,Low,12000,7,5,620,7,11.86,38.04,83,High,Moderate,0.65,0.18,Spike in Summer,Red Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2020-00033,Financial Fraud,Bengaluru Urban,Bengaluru Urban North,2020-09-03 19:47:00,12.194635,77.432317,Solved,OFF-3705,Male,35,Digital,19,3,9,2020,0,0,Monsoon,Low,4500,1,4,471,15,5.08,23.15,90,High,Severe,0.64,0.72,Normal,Red Zone,Standard Patrol,Night,Likely to Reoccur
FIR-2022-00034,Assault,Other,Other Rural,2022-08-14 08:50:00,17.038734,76.654053,Open,OFF-3230,Male,34,Crowbar,8,14,8,2022,1,0,Monsoon,Low,4500,3,3,619,9,7.15,46.87,35,Low,Moderate,0.84,0.89,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2024-00035,Property Dispute,Other,Other Cyber Cell,2024-11-28 02:38:00,11.779025,75.944129,Solved,OFF-1105,Male,44,Unknown,2,28,11,2024,0,0,Winter,High,12000,1,3,600,1,11.68,17.52,51,Medium,Severe,0.82,0.83,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2026-00036,Cyber Crime,Other,Other South,2026-07-25 13:40:00,17.199715,78.360749,Closed,OFF-2365,Female,28,Digital,13,25,7,2026,1,0,Monsoon,High,8000,5,4,843,1,7.37,31.45,70,Medium,Moderate,0.56,0.55,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2026-00037,Theft,Mysuru,Mysuru Rural,2026-01-31 14:26:00,11.879429,76.332977,Closed,OFF-4112,Male,41,Crowbar,14,31,1,2026,1,0,Winter,Medium,8000,8,1,39,7,10.94,31.08,89,High,Low,0.77,-0.81,Normal,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2021-00038,Cyber Crime,Bengaluru Urban,Bengaluru Urban Rural,2021-09-22 15:59:00,16.516223,76.289924,Closed,OFF-2934,Male,73,Stick,15,22,9,2021,0,0,Monsoon,Low,12000,9,2,894,2,4.87,79.0,44,Medium,Moderate,0.67,0.58,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2020-00039,Robbery,Mangaluru,Mangaluru Rural,2020-01-11 09:46:00,13.589891,76.64122,Under Investigation,OFF-2829,Unknown,76,Crowbar,9,11,1,2020,1,0,Winter,High,8000,8,3,900,6,14.73,23.88,94,High,Moderate,0.61,0.55,Normal,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2025-00040,Coastal Smuggling,Dakshina Kannada,Dakshina Kannada North,2025-04-21 22:58:00,17.179862,75.737354,Closed,OFF-4951,Male,31,Stick,22,21,4,2025,0,0,Summer,Medium,4500,8,1,548,14,1.21,14.42,94,High,Severe,0.98,-0.85,Spike in Summer,Red Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2024-00041,Financial Fraud,Bengaluru Urban,Bengaluru Urban Rural,2024-06-16 20:05:00,17.462357,77.835536,Solved,OFF-3567,Unknown,77,Stick,20,16,6,2024,1,1,Summer,Low,4500,5,2,774,2,7.08,9.84,78,High,Severe,0.84,-0.8,Spike in Summer,Orange Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2020-00042,Cyber Crime,Kodagu,Kodagu Rural,2020-04-28 01:20:00,17.073004,75.320155,Under Investigation,OFF-2000,Unknown,67,Stick,1,28,4,2020,0,0,Summer,Low,4500,3,1,634,12,9.68,24.08,57,Medium,Severe,0.57,-0.08,Spike in Summer,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2020-00043,Financial Fraud,Bengaluru Urban,Bengaluru Urban Rural,2020-02-08 14:57:00,13.513422,76.459692,Solved,OFF-3406,Female,69,Unknown,14,8,2,2020,1,0,Winter,Medium,4500,7,4,119,7,6.34,35.9,19,Low,Moderate,0.99,-0.41,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2023-00044,Traffic Offence,Other,Other Cyber Cell,2023-01-29 00:36:00,17.555472,77.502402,Closed,OFF-4411,Female,44,Stick,0,29,1,2023,1,0,Winter,Low,12000,4,5,266,4,9.8,90.34,16,Low,Severe,0.52,0.58,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2021-00045,Theft,Mysuru,Mysuru North,2021-06-22 02:58:00,13.565773,77.363664,Under Investigation,OFF-4221,Unknown,61,Stick,2,22,6,2021,0,0,Summer,Medium,4500,5,4,1000,9,11.45,33.87,32,Low,Low,0.73,-0.85,Spike in Summer,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2024-00046,Burglary,Mangaluru,Mangaluru Cyber Cell,2024-06-15 17:23:00,12.13212,75.775586,Open,OFF-2862,Female,48,Stick,17,15,6,2024,1,0,Summer,High,8000,2,2,492,0,9.67,94.32,43,Medium,Moderate,0.95,-0.56,Spike in Summer,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2025-00047,Assault,Mysuru,Mysuru Central,2025-03-16 22:19:00,16.044676,74.525042,Solved,OFF-3017,Male,27,Digital,22,16,3,2025,1,0,Summer,Low,8000,8,3,696,13,9.22,72.66,15,Low,Moderate,0.82,0.67,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2023-00048,Traffic Offence,Chikkamagaluru,Chikkamagaluru South,2023-02-19 01:44:00,14.09371,75.995224,Open,OFF-3808,Female,60,Knife,1,19,2,2023,1,0,Winter,Low,4500,8,1,688,6,9.98,59.71,40,Low,Low,0.52,-0.33,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2022-00049,Cyber Crime,Chikkamagaluru,Chikkamagaluru North,2022-04-20 02:53:00,16.856102,74.932208,Solved,OFF-4171,Male,15,Crowbar,2,20,4,2022,0,0,Summer,Low,4500,9,3,827,5,2.54,86.64,37,Low,Low,0.51,0.58,Spike in Summer,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2021-00050,Cyber Crime,Bengaluru Urban,Bengaluru Urban Central,2021-12-14 08:03:00,12.38731,75.894323,Closed,OFF-2836,Female,80,Stick,8,14,12,2021,0,0,Winter,High,4500,10,1,754,9,7.41,96.4,24,Low,Low,0.99,0.69,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2021-00051,Traffic Offence,Other,Other South,2021-03-18 15:45:00,17.867906,74.330708,Under Investigation,OFF-1269,Male,50,Stick,15,18,3,2021,0,0,Summer,High,12000,6,4,621,9,7.35,60.54,20,Low,Low,0.89,-0.77,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2024-00052,Burglary,Other,Other Rural,2024-10-27 14:56:00,13.099455,75.525192,Closed,OFF-3988,Male,55,Firearm,14,27,10,2024,1,0,Monsoon,Medium,8000,3,4,78,2,12.64,9.32,68,Medium,Low,0.86,-0.25,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2026-00053,Cyber Crime,Other,Other Central,2026-03-28 01:37:00,18.196372,76.527575,Closed,OFF-2448,Unknown,69,Unknown,1,28,3,2026,1,0,Summer,Medium,12000,5,3,116,6,3.17,48.22,95,High,Low,0.67,0.11,Normal,Red Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2023-00054,Assault,Other,Other Cyber Cell,2023-02-15 18:14:00,17.15055,77.803198,Open,OFF-3494,Unknown,49,Knife,18,15,2,2023,0,0,Winter,High,8000,6,3,16,5,13.18,56.63,89,High,Moderate,0.53,0.48,Normal,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2021-00055,Theft,Belagavi,Belagavi North,2021-01-10 23:33:00,13.00593,75.889246,Solved,OFF-2276,Unknown,56,Stick,23,10,1,2021,1,0,Winter,Low,4500,3,5,60,2,4.81,66.19,53,Medium,Moderate,0.8,-0.17,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2025-00056,Burglary,Other,Other Cyber Cell,2025-09-29 03:22:00,14.509395,75.274609,Closed,OFF-3158,Unknown,54,Knife,3,29,9,2025,0,0,Monsoon,High,4500,1,2,318,6,11.74,76.42,96,High,Moderate,0.66,-0.98,Normal,Red Zone,Increase Night Patrol,Night,Likely to Reoccur
FIR-2025-00057,Traffic Offence,Bengaluru Urban,Bengaluru Urban Central,2025-12-21 22:14:00,15.001836,77.750094,Closed,OFF-4529,Unknown,20,Firearm,22,21,12,2025,1,1,Winter,Low,8000,10,4,597,12,10.93,41.77,55,Medium,Low,0.7,0.93,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2026-00058,Cyber Crime,Bengaluru Urban,Bengaluru Urban Central,2026-12-06 14:53:00,16.32727,75.628337,Under Investigation,OFF-2784,Unknown,66,Stick,14,6,12,2026,1,0,Winter,Medium,12000,6,2,351,5,2.07,63.32,65,Medium,Severe,0.75,0.81,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2021-00059,Financial Fraud,Bengaluru Urban,Bengaluru Urban North,2021-08-27 07:06:00,12.52511,74.887723,Open,OFF-1725,Unknown,78,Firearm,7,27,8,2021,0,0,Monsoon,High,8000,10,5,340,10,3.11,6.83,87,High,Moderate,0.81,0.59,Normal,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2023-00060,Theft,Mysuru,Mysuru Central,2023-06-25 14:28:00,11.763251,75.659319,Open,OFF-3519,Unknown,79,Firearm,14,25,6,2023,1,0,Summer,High,12000,1,4,940,6,5.5,47.56,46,Medium,Low,0.97,-0.1,Spike in Summer,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2020-00061,Drug Trafficking,Hubballi Dharwad,Hubballi Dharwad Rural,2020-12-11 16:41:00,12.707912,75.114847,Under Investigation,OFF-2490,Female,51,Firearm,16,11,12,2020,0,0,Winter,Medium,12000,10,1,818,10,1.92,9.45,66,Medium,Severe,0.69,-0.5,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2023-00062,Theft,Mysuru,Mysuru Central,2023-12-03 09:41:00,16.38936,75.763811,Solved,OFF-3289,Female,57,Digital,9,3,12,2023,1,0,Winter,High,12000,9,1,671,13,8.12,1.82,86,High,Moderate,0.59,-0.57,Normal,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2022-00063,Property Dispute,Other,Other Cyber Cell,2022-02-25 07:08:00,12.584616,75.331064,Open,OFF-3711,Female,31,Stick,7,25,2,2022,0,0,Winter,Low,4500,10,2,748,14,1.61,36.43,22,Low,Severe,0.62,-0.11,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2025-00064,Robbery,Hubballi Dharwad,Hubballi Dharwad North,2025-01-12 07:34:00,13.174179,78.345185,Solved,OFF-3778,Unknown,71,Firearm,7,12,1,2025,1,0,Winter,Medium,12000,9,4,999,5,12.44,80.13,70,Medium,Low,0.93,-0.9,Normal,Orange Zone,Standard Patrol,Day,Isolated Incident
FIR-2026-00065,Property Dispute,Mysuru,Mysuru Central,2026-03-21 03:45:00,17.421246,77.830247,Under Investigation,OFF-2117,Female,80,Digital,3,21,3,2026,1,0,Summer,Low,4500,8,3,962,0,6.81,39.65,46,Medium,Moderate,0.62,0.99,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2021-00066,Forest Theft,Chikkamagaluru,Chikkamagaluru South,2021-02-09 22:41:00,13.847032,74.657222,Closed,OFF-3851,Male,75,Firearm,22,9,2,2021,0,0,Winter,Low,4500,5,2,865,4,8.68,72.72,14,Low,Severe,0.71,0.55,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2022-00067,Cyber Crime,Bengaluru Urban,Bengaluru Urban Rural,2022-09-03 13:40:00,17.057294,76.057011,Open,OFF-3588,Unknown,45,Unknown,13,3,9,2022,1,0,Monsoon,Medium,4500,10,3,256,13,3.62,66.82,24,Low,Severe,0.98,-0.86,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2024-00068,Theft,Other,Other Central,2024-05-18 15:02:00,15.949696,78.414677,Solved,OFF-4229,Male,59,Digital,15,18,5,2024,1,0,Summer,High,4500,10,3,146,1,5.93,33.85,42,Medium,Severe,0.59,0.56,Spike in Summer,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2025-00069,Property Dispute,Bengaluru Urban,Bengaluru Urban Central,2025-05-14 20:11:00,17.180484,74.283952,Solved,OFF-1825,Male,40,Knife,20,14,5,2025,0,0,Summer,Medium,12000,7,5,494,8,1.51,64.69,68,Medium,Moderate,0.67,0.56,Spike in Summer,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2023-00070,Drug Trafficking,Other,Other Rural,2023-01-24 03:51:00,14.076134,78.002689,Solved,OFF-4988,Male,78,Unknown,3,24,1,2023,0,0,Winter,High,8000,2,4,90,13,9.43,82.23,66,Medium,Severe,0.64,-0.79,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2023-00071,Drug Trafficking,Other,Other Rural,2023-04-25 09:28:00,15.718351,75.917522,Solved,OFF-2831,Male,60,Stick,9,25,4,2023,0,0,Summer,Medium,12000,1,1,697,12,6.09,80.11,98,High,Severe,0.58,-0.94,Spike in Summer,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2022-00072,Cyber Crime,Bengaluru Urban,Bengaluru Urban Cyber Cell,2022-08-24 20:23:00,14.035054,78.272602,Under Investigation,OFF-3781,Female,62,Crowbar,20,24,8,2022,0,0,Monsoon,Low,12000,3,5,385,12,5.4,27.87,14,Low,Low,0.51,-0.63,Normal,Green Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2021-00073,Traffic Offence,Bengaluru Urban,Bengaluru Urban South,2021-04-27 08:49:00,13.322028,76.008229,Closed,OFF-1819,Male,32,Knife,8,27,4,2021,0,0,Summer,High,8000,2,3,693,11,10.93,55.0,88,High,Moderate,0.94,0.7,Spike in Summer,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2024-00074,Cyber Crime,Other,Other North,2024-01-20 16:14:00,12.349537,74.904412,Closed,OFF-1107,Female,62,Firearm,16,20,1,2024,1,0,Winter,High,4500,10,1,77,9,6.57,71.69,27,Low,Moderate,0.76,0.54,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2021-00075,Assault,Shivamogga,Shivamogga South,2021-05-28 10:41:00,12.019155,76.096249,Under Investigation,OFF-4596,Unknown,38,Digital,10,28,5,2021,0,0,Summer,Low,4500,9,2,321,5,3.27,93.47,76,High,Low,0.67,0.88,Spike in Summer,Orange Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2020-00076,Robbery,Shivamogga,Shivamogga South,2020-11-19 08:12:00,15.9454,76.478786,Open,OFF-3058,Unknown,36,Stick,8,19,11,2020,0,0,Winter,Low,4500,10,5,355,1,12.55,2.84,26,Low,Low,0.96,0.54,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
FIR-2022-00077,Robbery,Other,Other Cyber Cell,2022-05-13 18:26:00,15.826759,74.136287,Solved,OFF-3629,Female,76,Digital,18,13,5,2022,0,0,Summer,High,8000,5,4,84,1,3.21,41.56,90,High,Moderate,0.6,0.21,Spike in Summer,Red Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2023-00078,Drug Trafficking,Bengaluru Urban,Bengaluru Urban Cyber Cell,2023-07-31 23:55:00,13.917594,75.794225,Open,OFF-2307,Male,74,Knife,23,31,7,2023,0,0,Monsoon,Low,4500,2,1,307,12,13.1,41.81,57,Medium,Low,0.9,0.87,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2021-00079,Robbery,Hubballi Dharwad,Hubballi Dharwad Central,2021-10-14 15:32:00,14.767706,77.95584,Open,OFF-4871,Female,79,Firearm,15,14,10,2021,0,0,Monsoon,Low,12000,6,1,61,9,7.93,88.23,73,Medium,Severe,0.83,-0.43,Normal,Orange Zone,Standard Patrol,Day,Likely to Reoccur
FIR-2024-00080,Theft,Bengaluru Urban,Bengaluru Urban South,2024-10-31 04:56:00,13.35131,75.645999,Open,OFF-2640,Male,39,Crowbar,4,31,10,2024,0,0,Monsoon,Low,8000,9,4,792,8,12.55,62.32,61,Medium,Severe,0.56,0.95,Normal,Orange Zone,Increase Night Patrol,Night,Isolated Incident
FIR-2024-00081,Traffic Offence,Other,Other Cyber Cell,2024-03-08 10:35:00,18.07264,77.397343,Closed,OFF-3048,Male,20,Knife,10,8,3,2024,0,0,Summer,Medium,8000,9,4,162,4,5.59,61.31,35,Low,Low,0.69,0.23,Normal,Green Zone,Standard Patrol,Day,Isolated Incident
