CSID,CaseMasterID,csdate,cstype,PolicePersonID
231,1132,2021-10-13,A,162
232,1139,2023-12-18,A,2
233,1140,2024-02-29,A,428
234,1145,2020-11-05,A,235
235,1147,2027-03-05,A,39
236,1149,2024-09-07,A,82
237,1152,2025-10-10,A,237
238,1158,2023-05-08,A,382
239,1160,2023-03-19,A,462
240,1166,2024-09-23,A,213
241,1167,2021-11-05,A,303
242,1174,2024-06-08,A,328
243,1175,2023-04-23,A,419
244,1176,2021-10-25,A,271
245,1180,2023-07-24,A,439
246,1185,2020-03-07,A,146
247,1191,2022-11-13,A,277
248,1195,2025-05-10,A,387
249,1197,2021-10-04,A,476
250,1198,2024-01-11,A,473
251,1211,2024-08-01,A,445
252,1226,2024-10-09,A,171
253,1230,2021-09-21,A,80
254,1239,2026-11-09,A,410
255,1244,2026-03-24,A,245
256,1247,2021-12-08,A,11
257,1248,2025-03-04,A,42
258,1250,2021-12-26,A,79
259,1260,2026-04-17,A,120
260,1267,2022-04-05,A,263
261,1273,2026-06-20,A,201
262,1274,2020-11-15,A,40
263,1281,2024-10-16,A,161
264,1283,2026-09-20,A,188
265,1294,2023-05-29,A,493
266,1295,2025-09-23,A,298
267,1297,2024-10-07,A,272
268,1301,2020-11-30,A,426
269,1304,2020-09-14,A,127
270,1322,2021-02-20,A,194
271,1325,2026-12-28,A,276
272,1333,2023-11-02,A,372
273,1337,2023-12-07,A,284
274,1350,2020-02-27,A,57
275,1351,2021-08-10,A,114
276,1354,2021-11-21,A,35
277,1355,2021-01-03,A,222
278,1360,2025-03-14,A,163
279,1361,2022-02-23,A,354
280,1363,2026-04-08,A,405
281,1372,2021-12-31,A,429
282,1377,2023-12-24,A,345
283,1383,2024-02-16,A,253
284,1396,2021-12-17,A,246
285,1402,2024-06-04,A,58
286,1404,2021-05-25,A,87
287,1417,2023-09-30,A,416
288,1430,2020-08-08,A,277
289,1435,2020-07-24,A,246
290,1436,2024-03-29,A,235
291,1437,2020-10-31,A,340
292,1442,2023-04-15,A,455
293,1444,2026-09-30,A,30
294,1449,2024-02-24,A,488
295,1456,2026-12-01,A,273
296,1458,2021-07-29,A,271
297,1459,2026-05-27,A,273
298,1477,2020-09-28,A,142
299,1480,2021-03-26,A,149
300,1498,2020-09-17,A,102
301,1502,2026-07-29,A,287
302,1506,2020-08-15,A,439
303,1507,2024-05-10,A,495
304,1519,2021-03-06,A,119
305,1525,2021-11-02,A,415
306,1534,2023-12-21,A,11
307,1535,2021-07-20,A,132
308,1537,2023-08-26,A,350
309,1546,2021-12-05,A,124
310,1553,2024-04-26,A,251
311,1554,2023-09-13,A,199
312,1555,2026-01-25,A,69
313,1556,2024-02-05,A,182
314,1559,2025-05-12,A,29
315,1562,2025-02-02,A,246
316,1567,2023-11-09,A,322
317,1574,2026-01-23,A,170
318,1577,2025-12-03,A,302
319,1581,2023-12-14,A,481
320,1589,2023-10-27,A,427
321,1591,2025-12-19,A,208
322,1595,2026-12-13,A,374
323,1596,2021-02-26,A,109
324,1599,2023-09-24,A,320
325,1600,2023-05-12,A,80
326,1606,2022-01-23,A,236
327,1616,2025-08-23,A,298
328,1624,2026-11-02,A,360
329,1636,2022-02-08,A,426
330,1639,2026-02-14,A,319
331,1651,2024-01-30,A,14
332,1662,2026-07-02,A,108
333,1663,2023-12-27,A,233
334,1665,2024-07-11,A,384
335,1666,2022-09-14,A,2
336,1667,2021-12-29,A,86
337,1671,2026-12-16,A,131
338,1673,2023-06-24,A,312
339,1676,2022-01-17,A,68
340,1677,2025-03-27,A,480
341,1679,2024-06-22,A,289
342,1681,2026-03-19,A,197
343,1682,2021-02-10,A,128
344,1685,2026-09-26,A,146
345,1687,2021-12-08,A,8
346,1693,2025-07-23,A,177
347,1710,2025-01-25,A,432
348,1713,2022-10-08,A,39
349,1715,2025-08-05,A,377
350,1717,2025-09-22,A,170
351,1719,2020-05-06,A,361
352,1720,2022-10-31,A,284
353,1721,2025-06-01,A,135
354,1725,2020-03-23,A,428
355,1726,2021-07-25,A,289
356,1728,2025-03-21,A,230
357,1747,2020-05-27,A,174
358,1755,2020-08-11,A,410
359,1756,2020-06-14,A,134
360,1769,2025-10-28,A,126
361,1770,2023-03-14,A,46
362,1774,2020-03-01,A,43
363,1775,2020-06-30,A,253
364,1778,2023-05-30,A,110
365,1780,2025-03-08,A,352
366,1785,2024-10-07,A,271
367,1787,2022-11-16,A,275
368,1789,2021-12-17,A,29
369,1795,2024-12-27,A,136
370,1798,2025-12-28,A,238
371,1802,2025-06-14,A,146
372,1812,2025-08-19,A,247
373,1818,2024-01-03,A,430
374,1820,2020-07-26,A,161
375,1827,2021-04-10,A,202
376,1828,2026-01-24,A,213
377,1829,2022-10-01,A,250
378,1830,2020-09-13,A,348
379,1838,2023-07-25,A,400
380,1842,2027-02-10,A,272
381,1848,2022-05-30,A,85
382,1856,2023-09-13,A,226
383,1862,2022-09-24,A,49
384,1863,2022-11-19,A,190
385,1869,2024-07-29,A,353
386,1887,2024-04-27,A,315
387,1893,2021-01-14,A,252
388,1898,2022-05-14,A,248
389,1902,2024-07-01,A,144
390,1908,2023-08-18,A,250
391,1909,2024-02-11,A,463
392,1910,2026-09-04,A,153
393,1920,2023-04-13,A,253
394,1921,2024-01-03,A,99
395,1925,2023-03-21,A,65
396,1926,2024-08-21,A,358
397,1951,2021-09-20,A,305
398,1958,2022-07-30,A,313
399,1965,2023-01-31,A,25
400,1979,2024-02-04,A,118
401,1980,2025-11-15,A,103
402,1988,2027-01-09,A,442
403,1991,2026-01-18,A,56
404,1992,2023-05-05,A,333
405,1994,2025-01-25,A,241
406,1996,2026-05-21,A,374
407,2008,2023-11-05,A,126
408,2009,2025-08-21,A,64
409,2010,2020-08-01,A,128
410,2014,2025-01-17,A,236
411,2017,2022-07-08,A,267
412,2022,2027-01-14,A,106
413,2025,2021-08-16,A,1
414,2026,2024-01-12,A,466
415,2027,2026-12-19,A,195
416,2032,2021-06-24,A,199
417,2042,2023-11-29,A,306
418,2049,2022-06-18,A,126
419,2056,2024-05-09,A,139
420,2062,2022-08-20,A,199
421,2063,2020-05-08,A,268
422,2066,2023-10-10,A,397
423,2069,2021-01-31,A,108
424,2071,2020-07-05,A,328
425,2074,2026-08-24,A,453
426,2083,2023-04-28,A,453
427,2086,2024-04-04,A,87
428,2087,2023-12-08,A,243
429,2092,2021-12-31,A,209
430,2095,2021-03-31,A,395
431,2106,2022-09-02,A,443
432,2108,2022-02-23,A,145
433,2111,2024-05-16,A,246
434,2120,2024-03-20,A,44
435,2124,2022-02-20,A,153
436,2128,2024-04-09,A,356
437,2136,2026-08-21,A,266
438,2137,2026-08-05,A,476
439,2142,2027-01-18,A,276
440,2147,2025-11-06,A,128
441,2148,2023-01-17,A,356
442,2152,2024-10-11,A,306
443,2153,2022-07-30,A,311
444,2157,2025-07-05,A,270
445,2158,2025-06-11,A,43
446,2160,2023-01-05,A,382
447,2165,2020-03-13,A,101
448,2173,2020-04-01,A,390
449,2176,2023-11-19,A,282
450,2185,2026-12-06,A,317
451,2186,2022-12-14,A,218
452,2188,2021-03-07,A,238
453,2192,2025-01-20,A,94
454,2200,2022-02-17,A,165
455,2202,2026-08-05,A,359
456,2206,2025-08-29,A,47
457,2208,2025-11-17,A,426
458,2211,2024-10-15,A,261
459,2213,2024-07-31,A,2
460,2217,2020-11-12,A,269
461,2219,2025-05-31,A,137
462,2222,2025-07-08,A,217
463,2236,2025-01-09,A,345
464,2241,2025-03-24,A,389
465,2248,2021-04-19,A,52
466,2263,2025-06-25,A,230
467,2265,2025-09-27,A,276
468,2278,2022-04-04,A,305
469,2279,2025-02-27,A,286
470,2282,2021-12-28,A,211
471,2285,2027-01-26,A,94
472,2297,2026-11-19,A,19
473,2302,2024-06-13,A,86
474,2308,2024-01-06,A,31
475,2309,2027-01-27,A,242
476,2310,2024-06-06,A,56
477,2318,2023-07-06,A,348
478,2328,2024-12-02,A,284
479,2335,2026-05-20,A,130
480,2345,2021-08-02,A,267
481,2346,2024-08-14,A,195
482,2353,2025-11-16,A,497
483,2359,2021-06-23,A,144
484,2363,2022-01-07,A,160
485,2372,2021-01-21,A,170
486,2377,2024-09-03,A,49
487,2378,2021-11-14,A,8
488,2379,2021-02-16,A,105
489,2385,2024-04-20,A,420
490,2387,2023-02-26,A,39
491,2391,2026-02-04,A,481
492,2395,2021-04-12,A,74
493,2409,2023-09-29,A,166
494,2413,2022-01-02,A,484
495,2418,2021-05-24,A,359
496,2422,2026-05-05,A,496
497,2424,2026-07-06,A,308
498,2427,2022-01-24,A,170
499,2438,2021-10-26,A,150
500,2443,2021-02-06,A,315
501,2444,2020-07-11,A,69
502,2448,2026-04-29,A,195
503,2453,2021-01-25,A,25
504,2454,2026-08-30,A,274
505,2458,2024-10-04,A,67
506,2462,2021-05-24,A,249
507,2473,2025-07-01,A,474
508,2475,2021-11-05,A,278
509,2480,2021-12-15,A,281
510,2486,2022-12-28,A,401
511,2487,2022-06-24,A,321
512,2491,2023-07-19,A,411
513,2503,2026-06-01,A,235
514,2511,2023-05-29,A,24
515,2514,2021-03-05,A,488
516,2516,2026-07-16,A,83
517,2519,2024-04-14,A,63
518,2520,2024-09-12,A,208
519,2523,2023-01-27,A,8
520,2540,2022-08-27,A,129
521,2544,2021-06-14,A,465
522,2545,2026-09-04,A,279
523,2550,2023-10-09,A,358
524,2551,2026-10-19,A,49
525,2556,2022-10-28,A,273
526,2567,2026-02-24,A,56
527,2576,2022-09-28,A,79
528,2592,2024-12-28,A,315
529,2594,2026-03-06,A,360
530,2601,2026-07-10,A,312
531,2603,2026-05-26,A,168
532,2614,2023-08-19,A,328
533,2618,2021-06-02,A,287
534,2619,2025-01-07,A,46
535,2627,2025-06-02,A,172
536,2634,2023-03-09,A,87
537,2657,2025-11-27,A,51
538,2667,2024-01-22,A,209
539,2676,2022-01-29,A,130
540,2682,2022-06-30,A,22
541,2683,2021-07-10,A,365
542,2684,2023-12-26,A,455
543,2687,2023-03-19,A,285
544,2693,2022-04-24,A,217
545,2699,2023-09-27,A,378
546,2701,2021-03-25,A,116
547,2710,2022-08-04,A,421
548,2715,2021-10-30,A,433
549,2718,2026-10-19,A,19
550,2720,2020-10-01,A,387
551,2730,2020-11-26,A,345
552,2734,2022-10-23,A,362
553,2738,2020-12-17,A,172
554,2741,2021-03-09,A,77
555,2744,2020-10-02,A,306
556,2760,2025-07-09,A,263
557,2763,2022-08-16,A,149
558,2770,2026-10-03,A,250
559,2774,2024-07-05,A,218
560,2775,2026-03-01,A,334
561,2777,2025-04-23,A,253
562,2782,2024-07-04,A,273
563,2784,2023-06-09,A,359
564,2785,2022-08-20,A,457
565,2786,2024-05-10,A,485
566,2792,2024-11-11,A,122
567,2802,2020-08-19,A,168
568,2814,2021-08-16,A,328
569,2817,2026-08-24,A,423
570,2825,2023-07-04,A,246
571,2829,2025-09-27,A,115
572,2835,2022-06-14,A,116
573,2836,2021-04-23,A,500
574,2838,2024-03-14,A,282
575,2839,2026-02-25,A,483
576,2841,2022-11-18,A,174
577,2844,2022-07-08,A,474
578,2856,2022-07-16,A,452
579,2858,2024-07-30,A,106
580,2863,2022-11-22,A,284
581,2866,2026-06-10,A,493
582,2872,2022-04-12,A,208
583,2885,2022-06-15,A,486
584,2895,2022-10-16,A,143
585,2896,2026-09-13,A,77
586,2899,2026-02-12,A,110
587,2901,2027-02-13,A,420
588,2903,2020-07-23,A,311
589,2907,2026-10-28,A,119
590,2908,2020-05-26,A,11
591,2917,2021-09-04,A,168
592,2920,2023-03-06,A,461
593,2933,2022-02-05,A,335
594,2934,2025-01-24,A,410
595,2943,2026-03-08,A,401
596,2949,2020-07-01,A,366
597,2953,2022-04-26,A,48
598,2956,2026-11-05,A,206
599,2958,2024-04-25,A,235
600,2959,2025-03-16,A,40
601,2962,2022-12-23,A,265
602,2965,2026-11-20,A,402
603,2967,2026-09-20,A,288
604,2970,2022-08-12,A,78
605,2973,2022-04-15,A,235
606,2979,2020-05-15,A,325
607,2992,2022-11-04,A,226
608,2993,2025-12-04,A,33
609,2994,2023-04-02,A,249
610,2995,2026-10-31,A,446
611,2999,2025-09-11,A,76
612,3000,2022-04-20,A,11
613,3013,2021-02-19,A,150
614,3017,2026-12-04,A,470
615,3018,2026-08-24,A,331
616,3022,2023-03-10,A,408
617,3028,2025-10-25,A,353
618,3033,2020-08-04,A,271
619,3034,2020-12-28,A,338
620,3040,2025-09-06,A,159
621,3041,2023-11-17,A,364
622,3042,2025-08-24,A,223
623,3050,2023-05-28,A,457
624,3053,2023-12-17,A,81
625,3060,2021-10-02,A,483
626,3069,2021-07-16,A,153
627,3077,2020-06-03,A,408
628,3078,2020-06-24,A,211
629,3082,2027-01-07,A,196
630,3089,2023-01-30,A,250
631,3104,2024-01-04,A,144
632,3106,2022-10-18,A,238
633,3108,2024-10-25,A,372
634,3117,2023-01-01,A,379
635,3124,2026-09-12,A,481
636,3126,2023-12-24,A,101
637,3141,2024-02-11,A,77
638,3147,2022-12-19,A,385
639,3150,2023-10-21,A,245
640,3156,2024-07-07,A,47
641,3165,2024-10-06,A,496
642,3174,2023-10-23,A,216
643,3175,2020-07-31,A,369
644,3176,2023-11-17,A,195
645,3177,2022-12-14,A,331
646,3184,2022-04-22,A,161
647,3192,2020-10-24,A,410
648,3200,2022-10-22,A,203
649,3201,2020-04-03,A,39
650,3204,2024-01-18,A,393
651,3208,2020-04-07,A,36
652,3210,2025-02-21,A,282
653,3223,2025-11-28,A,240
654,3224,2027-01-05,A,195
655,3228,2022-07-01,A,160
656,3229,2022-04-10,A,392
657,3230,2024-02-24,A,70
658,3234,2021-11-11,A,247
659,3239,2023-05-13,A,457
660,3248,2023-03-20,A,210
661,3252,2020-11-23,A,238
662,3259,2025-08-30,A,354
663,3261,2027-01-12,A,463
664,3264,2026-05-01,A,189
665,3272,2024-06-24,A,300
666,3273,2026-01-31,A,209
667,3278,2021-09-19,A,219
668,3279,2026-01-23,A,92
669,3289,2023-07-13,A,265
670,3292,2022-08-10,A,420
671,3293,2024-01-10,A,105
672,3297,2021-07-08,A,312
673,3298,2025-12-19,A,484
674,3305,2024-03-09,A,145
675,3306,2023-06-27,A,5
676,3307,2026-01-16,A,69
677,3308,2022-10-06,A,246
678,3312,2022-01-07,A,87
679,3318,2024-01-22,A,319
680,3319,2023-10-09,A,219
681,3324,2024-11-03,A,253
682,3325,2022-08-28,A,463
683,3331,2021-12-03,A,247
684,3334,2020-11-09,A,55
685,3346,2021-10-04,A,337
686,3347,2023-04-02,A,428
687,3348,2024-05-21,A,18
688,3356,2026-03-06,A,282
689,3357,2021-01-27,A,347
690,3361,2021-03-24,A,2
691,3362,2022-01-30,A,462
692,3364,2026-01-19,A,46
693,3386,2026-11-06,A,497
694,3391,2023-12-11,A,61
695,3392,2027-01-17,A,67
696,3400,2024-07-01,A,460
697,3407,2023-09-27,A,312
698,3408,2024-11-28,A,280
699,3418,2023-09-16,A,350
700,3423,2022-06-29,A,366
701,3428,2022-11-20,A,433
702,3441,2025-12-17,A,148
703,3443,2021-07-04,A,468
704,3446,2022-09-08,A,454
705,3457,2020-07-30,A,405
706,3459,2026-11-27,A,286
707,3460,2022-02-20,A,371
708,3468,2023-05-09,A,141
709,3478,2025-05-18,A,372
710,3483,2024-03-09,A,324
711,3485,2023-12-20,A,56
712,3494,2024-07-14,A,115
713,3497,2024-08-31,A,259
714,3499,2024-03-31,A,43
715,3503,2022-08-09,A,338
716,3506,2025-06-27,A,143
717,3507,2026-04-08,A,299
718,3515,2022-10-18,A,471
719,3516,2025-01-06,A,492
720,3523,2025-06-23,A,207
721,3530,2026-06-18,A,91
722,3542,2026-08-25,A,56
723,3546,2025-01-15,A,269
724,3555,2022-09-21,A,102
725,3563,2026-06-19,A,187
726,3568,2026-11-09,A,148
727,3573,2024-03-24,A,289
728,3575,2022-11-16,A,401
729,3585,2022-02-27,A,312
730,3595,2022-12-16,A,48
731,3601,2021-02-19,A,120
732,3615,2023-09-08,A,107
733,3628,2023-10-13,A,474
734,3630,2025-07-06,A,380
735,3632,2023-11-20,A,463
736,3636,2023-12-13,A,412
737,3637,2025-07-25,A,180
738,3639,2022-05-22,A,390
739,3643,2022-03-28,A,187
740,3645,2025-07-19,A,432
741,3646,2023-06-13,A,80
742,3648,2020-03-25,A,280
743,3666,2023-10-13,A,310
744,3671,2024-11-03,A,30
745,3672,2024-09-09,A,487
746,3694,2022-03-12,A,445
747,3717,2020-03-27,A,248
748,3720,2024-04-08,A,440
749,3722,2020-03-05,A,8
750,3727,2020-08-01,A,439
751,3742,2025-01-04,A,199
752,3743,2022-02-17,A,67
753,3766,2026-09-02,A,430
754,3767,2022-06-11,A,476
755,3769,2020-12-28,A,26
756,3771,2026-04-16,A,326
757,3776,2025-10-31,A,210
758,3778,2025-09-28,A,359
759,3787,2022-06-17,A,453
760,3796,2021-12-21,A,297
761,3806,2021-10-05,A,52
762,3819,2026-01-24,A,464
763,3821,2022-07-09,A,24
764,3822,2027-01-22,A,60
765,3826,2024-08-18,A,428
766,3839,2024-02-13,A,421
767,3847,2024-12-08,A,285
768,3855,2024-11-14,A,371
769,3858,2023-02-05,A,142
770,3872,2021-04-11,A,175
771,3873,2020-07-29,A,352
772,3874,2025-02-03,A,10
773,3875,2024-04-03,A,2
774,3892,2023-03-12,A,32
775,3898,2023-03-21,A,209
776,3905,2022-08-07,A,124
777,3909,2022-09-27,A,369
778,3913,2020-07-14,A,78
779,3917,2022-11-16,A,75
780,3918,2024-02-20,A,376
781,3930,2025-01-05,A,176
782,3936,2024-03-15,A,472
783,3938,2026-03-01,A,23
784,3946,2024-10-19,A,80
785,3950,2021-12-13,A,473
786,3951,2026-03-21,A,351
787,3953,2022-02-17,A,107
788,3964,2022-02-05,A,496
789,3970,2024-11-14,A,51
790,3978,2025-11-21,A,426
791,3986,2024-03-02,A,426
792,3995,2024-08-15,A,354
793,4005,2027-03-04,A,333
794,4008,2024-07-09,A,186
795,4016,2025-10-28,A,457
796,4018,2026-11-10,A,420
797,4020,2022-01-30,A,307
798,4025,2020-11-25,A,82
799,4033,2023-01-11,A,205
800,4034,2026-05-13,A,134
801,4037,2025-02-24,A,123
802,4039,2022-03-13,A,489
803,4043,2020-10-10,A,238
804,4049,2025-03-14,A,217
805,4051,2025-09-15,A,49
806,4052,2021-10-04,A,341
807,4053,2025-06-02,A,237
808,4056,2024-04-06,A,162
809,4061,2022-07-08,A,190
810,4062,2021-02-01,A,22
811,4064,2022-09-05,A,493
812,4070,2026-07-10,A,159
813,4072,2021-02-07,A,251
814,4076,2025-12-09,A,241
815,4079,2024-08-29,A,266
816,4080,2020-05-27,A,168
817,4081,2025-12-31,A,246
818,4087,2022-11-26,A,172
819,4098,2022-11-25,A,203
820,4101,2020-12-02,A,136
821,4107,2025-06-07,A,207
822,4121,2024-11-10,A,22
823,4123,2023-11-29,A,479
824,4133,2025-03-14,A,335
825,4134,2020-05-26,A,99
826,4135,2026-03-08,A,432
827,4136,2025-12-24,A,110
828,4141,2023-06-09,A,259
829,4145,2022-01-14,A,304
830,4146,2022-02-02,A,360
831,4151,2025-08-17,A,289
832,4173,2023-03-29,A,149
833,4176,2024-05-19,A,410
834,4180,2024-12-16,A,231
835,4181,2023-03-20,A,67
836,4183,2020-07-05,A,269
837,4189,2022-06-17,A,122
838,4202,2023-02-27,A,473
839,4204,2020-12-09,A,149
840,4207,2021-04-04,A,102
841,4219,2022-05-09,A,407
842,4221,2025-01-19,A,343
843,4237,2021-07-15,A,50
844,4238,2020-08-20,A,19
845,4240,2026-02-16,A,447
846,4242,2020-06-03,A,231
847,4243,2027-01-05,A,244
848,4244,2025-08-27,A,455
849,4247,2024-07-29,A,3
850,4252,2025-12-05,A,172
851,4257,2023-11-10,A,410
852,4258,2023-11-29,A,110
853,4264,2022-04-30,A,378
854,4266,2026-08-16,A,306
855,4270,2021-11-11,A,168
856,4275,2022-09-22,A,246
857,4277,2022-11-01,A,269
858,4280,2022-04-07,A,195
859,4287,2021-01-04,A,215
860,4292,2022-08-19,A,91
861,4297,2026-07-07,A,325
862,4312,2022-04-29,A,473
863,4317,2021-02-10,A,162
864,4322,2021-05-15,A,353
865,4325,2024-01-16,A,267
866,4329,2024-05-01,A,144
867,4350,2021-07-01,A,144
868,4355,2022-02-24,A,465
869,4356,2022-02-18,A,239
870,4370,2021-08-28,A,186
871,4374,2024-06-30,A,49
872,4377,2023-06-13,A,190
873,4395,2024-03-21,A,188
874,4404,2021-08-11,A,30
875,4412,2020-11-04,A,310
876,4413,2027-02-01,A,312
877,4415,2023-02-25,A,488
878,4422,2024-04-09,A,246
879,4428,2020-09-15,A,202
880,4431,2020-08-06,A,303
881,4435,2026-02-27,A,282
882,4437,2026-05-30,A,473
883,4443,2022-07-09,A,79
884,4444,2023-08-06,A,386
