CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
109,IPC,379,1,1
113,NDPS,20,1,1
114,NDPS,20,1,1
115,IPC,420,1,1
117,IPC,379,1,1
118,NDPS,21,1,1
119,IPC,379,1,1
120,NDPS,21,1,1
121,IPC,279,1,1
122,NDPS,21,1,1
123,IPC,379,1,1
124,IPC,420,1,1
125,IPC,379,1,1
126,IT,66C,1,1
127,IPC,302,1,1
128,IPC,302,1,1
129,IPC,307,1,1
130,IPC,307,1,1
131,NDPS,20,1,1
132,IPC,279,1,1
133,IPC,420,1,1
134,IPC,307,1,1
135,IPC,307,1,1
136,NDPS,20,1,1
137,IPC,420,1,1
138,IPC,307,1,1
139,IT,66D,1,1
140,IPC,304A,1,1
141,IT,66D,1,1
142,NDPS,21,1,1
143,IPC,379,1,1
145,IT,66D,1,1
146,IPC,302,1,1
147,NDPS,21,1,1
148,IPC,302,1,1
149,IPC,420,1,1
150,IPC,420,1,1
151,IPC,302,1,1
152,IT,66D,1,1
153,IT,66D,1,1
154,IPC,307,1,1
155,IPC,379,1,1
156,IPC,279,1,1
157,IT,66C,1,1
158,IPC,420,1,1
159,IPC,307,1,1
160,IT,66D,1,1
161,IPC,420,1,1
163,IT,66C,1,1
165,IT,66D,1,1
166,IPC,279,1,1
167,IPC,302,1,1
168,NDPS,21,1,1
169,IPC,420,1,1
170,IT,66D,1,1
171,IPC,302,1,1
172,IT,66D,1,1
173,IPC,302,1,1
175,IPC,302,1,1
177,IPC,302,1,1
178,IPC,307,1,1
179,NDPS,20,1,1
180,IPC,304A,1,1
181,IPC,304A,1,1
182,IT,66D,1,1
183,IPC,379,1,1
184,IPC,420,1,1
185,IPC,279,1,1
186,IT,66D,1,1
187,IPC,279,1,1
188,IT,66C,1,1
189,IT,66C,1,1
190,IPC,379,1,1
191,NDPS,21,1,1
192,IPC,304A,1,1
193,IT,66C,1,1
194,IPC,379,1,1
196,IPC,304A,1,1
197,IT,66D,1,1
198,IT,66D,1,1
199,NDPS,21,1,1
200,IPC,420,1,1
201,IPC,379,1,1
202,IPC,420,1,1
203,IPC,379,1,1
206,IPC,302,1,1
207,IT,66D,1,1
209,IPC,420,1,1
210,IPC,307,1,1
211,IPC,302,1,1
212,IPC,379,1,1
213,IPC,304A,1,1
214,IT,66D,1,1
215,NDPS,21,1,1
216,IT,66D,1,1
217,IPC,302,1,1
218,IPC,302,1,1
219,IPC,307,1,1
220,IPC,307,1,1
221,IPC,379,1,1
223,NDPS,21,1,1
224,IPC,379,1,1
225,IPC,420,1,1
226,NDPS,21,1,1
227,IT,66C,1,1
228,IPC,279,1,1
229,IPC,304A,1,1
230,IT,66C,1,1
231,IPC,304A,1,1
232,IPC,304A,1,1
233,IPC,307,1,1
234,IPC,279,1,1
235,IPC,304A,1,1
236,IPC,279,1,1
237,IPC,279,1,1
238,IT,66C,1,1
239,IPC,379,1,1
240,IPC,420,1,1
241,IT,66D,1,1
242,IPC,379,1,1
243,IPC,420,1,1
244,IPC,302,1,1
245,IT,66D,1,1
247,IPC,302,1,1
248,IPC,420,1,1
250,NDPS,20,1,1
251,IT,66D,1,1
252,IPC,420,1,1
253,IPC,420,1,1
254,IT,66C,1,1
255,IPC,420,1,1
256,NDPS,21,1,1
257,IPC,302,1,1
258,IPC,379,1,1
259,IPC,379,1,1
260,IPC,304A,1,1
261,IPC,304A,1,1
264,NDPS,21,1,1
265,IPC,302,1,1
266,NDPS,21,1,1
267,IPC,420,1,1
268,IPC,279,1,1
269,IPC,304A,1,1
270,IPC,302,1,1
271,IPC,379,1,1
273,IPC,420,1,1
274,IPC,307,1,1
275,IPC,379,1,1
276,IPC,420,1,1
277,IPC,420,1,1
278,IPC,420,1,1
279,IPC,379,1,1
280,IT,66D,1,1
281,IPC,420,1,1
282,IPC,379,1,1
283,IPC,304A,1,1
284,IPC,420,1,1
285,IPC,302,1,1
286,IT,66C,1,1
287,IT,66D,1,1
289,IPC,304A,1,1
290,IPC,302,1,1
291,IT,66C,1,1
292,NDPS,20,1,1
294,IT,66C,1,1
295,IT,66C,1,1
296,IT,66D,1,1
297,NDPS,20,1,1
298,NDPS,21,1,1
299,IT,66D,1,1
300,IPC,379,1,1
301,IPC,279,1,1
302,IPC,307,1,1
303,IT,66D,1,1
304,IPC,302,1,1
305,IPC,379,1,1
306,IPC,279,1,1
307,IPC,379,1,1
308,IPC,420,1,1
309,IPC,304A,1,1
310,NDPS,21,1,1
312,IT,66D,1,1
313,NDPS,20,1,1
314,IPC,302,1,1
315,IT,66D,1,1
316,IPC,379,1,1
317,IPC,304A,1,1
318,IPC,304A,1,1
320,IPC,279,1,1
321,NDPS,21,1,1
322,IPC,420,1,1
323,IPC,302,1,1
324,IPC,420,1,1
325,IT,66D,1,1
326,IPC,379,1,1
327,IPC,420,1,1
328,IPC,304A,1,1
329,IPC,279,1,1
330,IPC,379,1,1
331,IPC,420,1,1
332,IPC,420,1,1
333,IPC,304A,1,1
334,IPC,304A,1,1
335,IPC,302,1,1
336,IT,66D,1,1
337,IPC,420,1,1
338,IPC,279,1,1
339,NDPS,20,1,1
340,IPC,302,1,1
341,NDPS,20,1,1
342,IPC,307,1,1
343,IPC,307,1,1
344,IPC,420,1,1
345,IPC,304A,1,1
346,IPC,302,1,1
347,IPC,302,1,1
348,IT,66D,1,1
349,IPC,420,1,1
350,IT,66C,1,1
351,IPC,304A,1,1
352,IT,66D,1,1
354,IPC,304A,1,1
355,IPC,420,1,1
356,IT,66C,1,1
358,NDPS,21,1,1
359,IPC,307,1,1
360,IPC,279,1,1
361,IT,66C,1,1
362,IPC,302,1,1
363,IPC,420,1,1
364,IPC,307,1,1
365,IPC,307,1,1
366,IT,66D,1,1
367,IPC,420,1,1
368,IPC,279,1,1
370,IPC,304A,1,1
373,IPC,279,1,1
374,IPC,420,1,1
375,IT,66C,1,1
376,NDPS,21,1,1
378,IPC,307,1,1
380,IT,66C,1,1
381,IPC,279,1,1
382,IPC,379,1,1
383,IT,66D,1,1
384,NDPS,21,1,1
385,NDPS,21,1,1
386,IPC,420,1,1
387,IPC,279,1,1
388,IPC,304A,1,1
389,IPC,420,1,1
390,IPC,379,1,1
391,IPC,420,1,1
392,IPC,420,1,1
393,IPC,420,1,1
394,IPC,379,1,1
395,IPC,304A,1,1
396,NDPS,20,1,1
400,IPC,420,1,1
401,NDPS,21,1,1
402,NDPS,21,1,1
403,IPC,379,1,1
404,IPC,307,1,1
405,IPC,302,1,1
406,IT,66C,1,1
407,IPC,302,1,1
409,IT,66D,1,1
410,NDPS,20,1,1
411,NDPS,21,1,1
412,NDPS,20,1,1
413,IPC,379,1,1
414,NDPS,20,1,1
415,IPC,420,1,1
416,IPC,304A,1,1
417,IPC,279,1,1
419,IPC,304A,1,1
421,IPC,379,1,1
423,IPC,379,1,1
424,IPC,307,1,1
425,IPC,304A,1,1
426,IPC,379,1,1
427,IPC,420,1,1
428,NDPS,21,1,1
429,IPC,379,1,1
431,IT,66C,1,1
432,IT,66C,1,1
433,IT,66D,1,1
434,IPC,307,1,1
435,IPC,279,1,1
436,IPC,379,1,1
437,IT,66C,1,1
438,NDPS,20,1,1
439,IT,66C,1,1
441,NDPS,21,1,1
442,IPC,307,1,1
443,IPC,307,1,1
444,IPC,379,1,1
445,IPC,379,1,1
447,IPC,420,1,1
448,IPC,420,1,1
449,IPC,304A,1,1
450,IPC,379,1,1
451,IPC,279,1,1
452,IT,66D,1,1
453,IPC,420,1,1
454,IPC,279,1,1
455,IPC,379,1,1
456,IT,66C,1,1
457,IPC,279,1,1
459,IPC,379,1,1
460,IPC,302,1,1
462,IPC,379,1,1
463,IPC,379,1,1
464,IPC,379,1,1
465,NDPS,20,1,1
466,IT,66D,1,1
467,NDPS,21,1,1
468,IPC,420,1,1
469,IPC,307,1,1
471,IPC,302,1,1
472,IPC,420,1,1
473,IPC,307,1,1
474,NDPS,20,1,1
476,IPC,379,1,1
477,IPC,379,1,1
478,IPC,307,1,1
479,IT,66D,1,1
480,NDPS,20,1,1
481,IPC,420,1,1
482,IPC,302,1,1
483,IPC,307,1,1
484,IPC,302,1,1
485,IPC,307,1,1
486,IT,66D,1,1
487,IPC,302,1,1
488,IT,66D,1,1
489,IPC,307,1,1
491,NDPS,21,1,1
492,IT,66C,1,1
493,IPC,304A,1,1
494,IPC,304A,1,1
495,IPC,279,1,1
496,IPC,279,1,1
497,IPC,379,1,1
498,NDPS,20,1,1
499,NDPS,20,1,1
501,IPC,379,1,1
503,IPC,304A,1,1
504,IPC,379,1,1
505,NDPS,20,1,1
506,IT,66D,1,1
507,IPC,379,1,1
510,IT,66D,1,1
511,NDPS,20,1,1
512,IPC,279,1,1
513,IT,66D,1,1
514,IPC,307,1,1
515,NDPS,21,1,1
516,IPC,420,1,1
517,IPC,379,1,1
518,IPC,420,1,1
519,IT,66C,1,1
520,IPC,379,1,1
521,IPC,379,1,1
523,IPC,279,1,1
525,IPC,379,1,1
526,IPC,379,1,1
527,IPC,279,1,1
528,IPC,304A,1,1
529,IPC,379,1,1
530,IT,66D,1,1
531,IPC,302,1,1
532,IT,66D,1,1
533,IPC,420,1,1
534,IPC,420,1,1
535,NDPS,21,1,1
536,IPC,379,1,1
538,IPC,307,1,1
539,IT,66C,1,1
540,IPC,279,1,1
541,NDPS,20,1,1
542,NDPS,21,1,1
543,NDPS,21,1,1
544,NDPS,21,1,1
545,IT,66D,1,1
546,IPC,279,1,1
547,IT,66D,1,1
548,IT,66D,1,1
550,IT,66D,1,1
551,IPC,379,1,1
552,IPC,304A,1,1
553,IPC,420,1,1
554,IT,66D,1,1
555,IPC,420,1,1
556,IT,66D,1,1
558,IPC,304A,1,1
559,IPC,420,1,1
560,IT,66D,1,1
561,IT,66C,1,1
562,IT,66C,1,1
563,IT,66C,1,1
564,IPC,279,1,1
566,IPC,279,1,1
567,IPC,420,1,1
568,IT,66D,1,1
569,IPC,304A,1,1
572,NDPS,21,1,1
573,IPC,307,1,1
574,IPC,304A,1,1
575,IT,66D,1,1
576,IPC,302,1,1
577,NDPS,21,1,1
578,IPC,304A,1,1
581,IPC,304A,1,1
582,IPC,302,1,1
583,IT,66C,1,1
584,IPC,307,1,1
586,IT,66C,1,1
587,IPC,420,1,1
588,IPC,279,1,1
589,IT,66C,1,1
590,IPC,420,1,1
591,IPC,307,1,1
592,IPC,379,1,1
593,IPC,420,1,1
594,IPC,420,1,1
595,IPC,307,1,1
596,IPC,279,1,1
597,IPC,420,1,1
598,IT,66C,1,1
599,IPC,304A,1,1
600,IPC,420,1,1
602,IPC,304A,1,1
603,IT,66D,1,1
604,IPC,379,1,1
605,IPC,379,1,1
606,IPC,379,1,1
607,IPC,379,1,1
608,NDPS,21,1,1
609,IPC,420,1,1
610,IT,66C,1,1
612,NDPS,21,1,1
613,IPC,379,1,1
614,IT,66D,1,1
615,IPC,307,1,1
616,IPC,279,1,1
617,IPC,379,1,1
618,IPC,420,1,1
619,IPC,379,1,1
620,IPC,379,1,1
621,IPC,420,1,1
623,NDPS,21,1,1
625,IPC,379,1,1
626,IT,66D,1,1
627,IPC,302,1,1
630,IPC,304A,1,1
631,IPC,304A,1,1
632,IT,66C,1,1
633,IPC,420,1,1
634,IT,66D,1,1
635,IT,66D,1,1
636,IPC,379,1,1
637,IPC,304A,1,1
638,IPC,420,1,1
639,IPC,302,1,1
643,IPC,420,1,1
644,NDPS,21,1,1
645,NDPS,20,1,1
646,IT,66D,1,1
647,IPC,307,1,1
648,IPC,420,1,1
649,IT,66D,1,1
650,NDPS,21,1,1
651,IPC,379,1,1
652,NDPS,20,1,1
653,IT,66C,1,1
654,IT,66C,1,1
655,IT,66D,1,1
656,IT,66D,1,1
658,IT,66C,1,1
659,IPC,379,1,1
660,IPC,379,1,1
661,NDPS,21,1,1
663,IPC,379,1,1
664,IPC,379,1,1
665,IT,66D,1,1
666,NDPS,20,1,1
667,NDPS,20,1,1
668,IPC,420,1,1
670,IPC,307,1,1
671,IT,66C,1,1
672,NDPS,20,1,1
674,IPC,302,1,1
675,IPC,379,1,1
677,IPC,379,1,1
678,IT,66D,1,1
679,NDPS,21,1,1
680,NDPS,21,1,1
681,IPC,379,1,1
682,IPC,379,1,1
683,IPC,420,1,1
684,NDPS,20,1,1
686,IT,66C,1,1
687,IT,66C,1,1
688,IPC,304A,1,1
689,IPC,379,1,1
690,IPC,379,1,1
691,IT,66D,1,1
692,IPC,304A,1,1
693,IPC,420,1,1
694,IPC,420,1,1
695,IPC,379,1,1
696,IPC,379,1,1
697,IPC,279,1,1
698,IT,66C,1,1
700,IPC,302,1,1
701,IPC,307,1,1
702,NDPS,20,1,1
703,IPC,304A,1,1
704,IT,66C,1,1
706,IPC,279,1,1
707,IPC,379,1,1
709,IPC,379,1,1
710,NDPS,21,1,1
712,NDPS,20,1,1
713,IPC,420,1,1
714,NDPS,20,1,1
716,IT,66C,1,1
717,IT,66C,1,1
718,IT,66D,1,1
719,NDPS,21,1,1
720,IPC,302,1,1
721,IT,66C,1,1
722,IPC,420,1,1
723,IPC,302,1,1
724,IT,66C,1,1
726,IPC,379,1,1
727,IPC,307,1,1
728,IPC,304A,1,1
729,IPC,379,1,1
730,IPC,379,1,1
731,IPC,379,1,1
732,IPC,420,1,1
733,IPC,302,1,1
734,IPC,302,1,1
735,IT,66D,1,1
736,IPC,420,1,1
737,IPC,304A,1,1
738,IT,66C,1,1
739,IPC,279,1,1
741,IPC,307,1,1
742,IPC,379,1,1
743,IPC,379,1,1
744,IT,66D,1,1
746,IPC,420,1,1
747,IT,66D,1,1
748,IPC,279,1,1
749,IPC,420,1,1
750,IPC,307,1,1
751,IPC,307,1,1
752,IPC,302,1,1
753,IPC,379,1,1
754,IPC,420,1,1
755,NDPS,21,1,1
756,IT,66C,1,1
757,IPC,302,1,1
758,IPC,307,1,1
759,IT,66C,1,1
761,NDPS,21,1,1
762,IPC,304A,1,1
763,IT,66D,1,1
765,IPC,420,1,1
766,IPC,302,1,1
768,IPC,420,1,1
769,IPC,307,1,1
770,IPC,304A,1,1
771,IPC,304A,1,1
772,IPC,279,1,1
773,IPC,279,1,1
774,IPC,379,1,1
775,IPC,420,1,1
776,IPC,304A,1,1
778,NDPS,20,1,1
779,IPC,379,1,1
780,IPC,420,1,1
781,IPC,379,1,1
783,IPC,302,1,1
784,IT,66D,1,1
785,IPC,420,1,1
786,NDPS,21,1,1
787,IT,66C,1,1
788,IPC,304A,1,1
789,NDPS,21,1,1
790,IPC,420,1,1
791,IPC,279,1,1
792,IPC,420,1,1
794,NDPS,20,1,1
795,IT,66C,1,1
796,IT,66D,1,1
797,IPC,420,1,1
798,NDPS,21,1,1
799,IPC,307,1,1
800,IT,66C,1,1
802,IT,66D,1,1
803,NDPS,21,1,1
804,IPC,302,1,1
805,IPC,279,1,1
806,IPC,379,1,1
807,IPC,379,1,1
808,IT,66D,1,1
809,IT,66D,1,1
810,IPC,304A,1,1
812,NDPS,20,1,1
813,IT,66D,1,1
814,IPC,307,1,1
815,NDPS,21,1,1
817,IT,66D,1,1
818,IPC,307,1,1
820,IPC,379,1,1
821,IPC,307,1,1
822,IPC,307,1,1
823,IPC,279,1,1
824,IPC,304A,1,1
825,IT,66D,1,1
827,IPC,302,1,1
828,IPC,420,1,1
829,IT,66C,1,1
830,IPC,420,1,1
831,IT,66D,1,1
832,IPC,302,1,1
833,IT,66D,1,1
834,IT,66C,1,1
835,NDPS,20,1,1
836,IPC,379,1,1
837,IPC,420,1,1
838,IPC,307,1,1
839,NDPS,21,1,1
841,IT,66D,1,1
842,NDPS,21,1,1
844,IPC,304A,1,1
845,IPC,279,1,1
846,IPC,279,1,1
847,IPC,379,1,1
848,IT,66C,1,1
849,IPC,304A,1,1
850,NDPS,20,1,1
851,IPC,302,1,1
852,IT,66D,1,1
853,IPC,379,1,1
854,IT,66D,1,1
855,NDPS,20,1,1
856,IPC,379,1,1
857,IPC,379,1,1
858,NDPS,20,1,1
859,IPC,302,1,1
860,IT,66C,1,1
861,IT,66D,1,1
862,IPC,279,1,1
863,IPC,304A,1,1
864,IPC,379,1,1
865,IT,66D,1,1
866,IPC,302,1,1
867,IPC,307,1,1
868,IPC,379,1,1
869,IPC,420,1,1
870,NDPS,21,1,1
871,IT,66C,1,1
872,IT,66C,1,1
873,IT,66D,1,1
874,IT,66D,1,1
875,IPC,420,1,1
876,IPC,302,1,1
877,IT,66D,1,1
878,NDPS,21,1,1
879,IPC,307,1,1
880,IT,66C,1,1
881,IT,66C,1,1
882,NDPS,21,1,1
883,IT,66C,1,1
885,IPC,307,1,1
886,IPC,420,1,1
887,IT,66C,1,1
888,NDPS,20,1,1
889,IPC,420,1,1
892,IPC,302,1,1
893,IPC,379,1,1
894,NDPS,21,1,1
895,NDPS,21,1,1
896,IPC,379,1,1
897,IPC,279,1,1
898,IPC,304A,1,1
899,NDPS,20,1,1
900,IT,66C,1,1
901,IPC,420,1,1
902,IPC,279,1,1
903,IPC,304A,1,1
904,IPC,279,1,1
905,IPC,420,1,1
906,IPC,420,1,1
907,IPC,379,1,1
908,NDPS,20,1,1
909,IPC,307,1,1
910,IT,66D,1,1
911,NDPS,21,1,1
914,IPC,279,1,1
915,IT,66D,1,1
916,IT,66C,1,1
917,IPC,379,1,1
918,IT,66D,1,1
919,IT,66D,1,1
921,IPC,379,1,1
922,IPC,304A,1,1
923,NDPS,21,1,1
924,IPC,302,1,1
925,IPC,420,1,1
926,IPC,302,1,1
927,IT,66C,1,1
928,IT,66C,1,1
929,NDPS,21,1,1
930,NDPS,21,1,1
931,IPC,302,1,1
932,IPC,279,1,1
933,IPC,379,1,1
934,IPC,379,1,1
935,NDPS,21,1,1
936,IPC,307,1,1
938,IPC,420,1,1
939,IT,66C,1,1
941,IPC,420,1,1
942,IT,66C,1,1
943,IT,66D,1,1
944,IT,66D,1,1
945,IPC,379,1,1
946,IPC,304A,1,1
948,IPC,420,1,1
949,IT,66C,1,1
950,NDPS,21,1,1
951,IPC,302,1,1
952,IPC,279,1,1
953,IPC,420,1,1
954,NDPS,21,1,1
956,IPC,379,1,1
957,IPC,302,1,1
958,NDPS,21,1,1
959,NDPS,20,1,1
960,IPC,302,1,1
961,IT,66C,1,1
962,IPC,304A,1,1
963,IPC,379,1,1
964,IPC,420,1,1
965,IPC,279,1,1
966,IPC,279,1,1
967,IPC,304A,1,1
968,IPC,420,1,1
969,IPC,379,1,1
970,NDPS,21,1,1
971,IPC,379,1,1
972,IPC,307,1,1
973,IT,66D,1,1
974,IPC,420,1,1
975,IPC,304A,1,1
976,IPC,420,1,1
977,NDPS,21,1,1
978,IPC,302,1,1
979,NDPS,20,1,1
980,IPC,279,1,1
981,IPC,420,1,1
982,NDPS,21,1,1
983,IPC,379,1,1
984,IPC,420,1,1
985,IPC,420,1,1
986,IPC,379,1,1
987,IT,66D,1,1
990,IPC,420,1,1
992,NDPS,21,1,1
993,IPC,379,1,1
994,IT,66C,1,1
995,IPC,379,1,1
996,NDPS,21,1,1
998,IPC,302,1,1
999,IT,66D,1,1
1000,IT,66D,1,1
1001,IPC,379,1,1
1002,NDPS,20,1,1
1003,IT,66C,1,1
1004,IT,66C,1,1
1005,IT,66C,1,1
1006,NDPS,20,1,1
1007,IT,66D,1,1
1008,IPC,307,1,1
1009,IT,66C,1,1
1010,NDPS,21,1,1
1011,IPC,302,1,1
1013,IPC,420,1,1
1014,IPC,379,1,1
1015,IT,66C,1,1
1016,IPC,304A,1,1
1018,IPC,420,1,1
1019,IPC,420,1,1
1020,IPC,379,1,1
1021,IPC,279,1,1
1022,IT,66D,1,1
1024,IT,66C,1,1
1025,IPC,420,1,1
1026,IPC,379,1,1
1028,IT,66D,1,1
1029,IPC,379,1,1
1030,IT,66D,1,1
1031,IPC,420,1,1
1032,IPC,420,1,1
1033,NDPS,21,1,1
1034,IPC,302,1,1
1036,IT,66D,1,1
1037,NDPS,21,1,1
1039,IPC,279,1,1
1040,IPC,304A,1,1
1041,NDPS,21,1,1
1042,IPC,379,1,1
1043,IT,66D,1,1
1044,IPC,379,1,1
1045,IPC,420,1,1
1046,IPC,379,1,1
1047,IPC,420,1,1
1048,NDPS,21,1,1
1049,IPC,304A,1,1
1050,IPC,279,1,1
1053,IPC,279,1,1
1054,IPC,279,1,1
1055,IPC,304A,1,1
1056,IPC,379,1,1
1058,IPC,307,1,1
1059,IT,66C,1,1
1060,IT,66C,1,1
1061,IPC,304A,1,1
1063,IPC,307,1,1
1064,IPC,420,1,1
1065,IPC,279,1,1
1067,IPC,420,1,1
1069,IPC,420,1,1
1070,IPC,279,1,1
1071,IPC,307,1,1
1072,IPC,279,1,1
1073,NDPS,20,1,1
1074,IPC,379,1,1
1076,IPC,304A,1,1
1077,IT,66C,1,1
1078,IPC,420,1,1
1079,IPC,307,1,1
1080,IPC,279,1,1
1081,IPC,279,1,1
1082,IPC,420,1,1
1083,IPC,302,1,1
1084,IT,66C,1,1
1085,IT,66C,1,1
1086,IT,66C,1,1
1087,NDPS,21,1,1
1089,IPC,420,1,1
1090,IPC,379,1,1
1091,IPC,302,1,1
1092,IPC,379,1,1
1093,IT,66D,1,1
1094,IPC,379,1,1
1095,IPC,307,1,1
1096,IPC,379,1,1
1097,IPC,379,1,1
1099,IPC,307,1,1
1100,IT,66D,1,1
1101,IPC,304A,1,1
1103,IPC,420,1,1
1104,IPC,379,1,1
1105,IPC,307,1,1
1106,IPC,279,1,1
1107,NDPS,21,1,1
1108,IT,66C,1,1
1109,IPC,420,1,1
1110,IT,66C,1,1
1112,IPC,279,1,1
1113,IPC,379,1,1
1114,IT,66D,1,1
1115,IPC,379,1,1
1116,IPC,379,1,1
1117,IPC,420,1,1
1118,IPC,302,1,1
1119,NDPS,21,1,1
1120,IPC,420,1,1
1121,IT,66D,1,1
1122,IPC,307,1,1
1123,NDPS,20,1,1
1124,IPC,420,1,1
1126,IPC,307,1,1
1127,NDPS,21,1,1
1129,IPC,279,1,1
1130,IPC,279,1,1
1131,IPC,279,1,1
1132,IPC,304A,1,1
1133,IPC,379,1,1
1134,IPC,279,1,1
1135,IPC,302,1,1
1136,IPC,420,1,1
1138,IPC,307,1,1
1139,IPC,304A,1,1
1140,IPC,420,1,1
1141,IPC,307,1,1
1142,IPC,279,1,1
1143,IPC,420,1,1
1144,NDPS,20,1,1
1145,NDPS,21,1,1
1146,IPC,279,1,1
1147,IPC,302,1,1
1149,IPC,379,1,1
1150,IPC,379,1,1
1151,NDPS,21,1,1
1152,IPC,302,1,1
1153,IT,66D,1,1
1154,NDPS,21,1,1
1155,IPC,302,1,1
1156,IPC,307,1,1
1157,IPC,379,1,1
1158,IPC,307,1,1
1159,IPC,307,1,1
1161,IT,66C,1,1
1162,IT,66C,1,1
1163,IT,66C,1,1
1164,IT,66C,1,1
1165,IPC,379,1,1
1166,IPC,279,1,1
1168,IPC,302,1,1
1169,IT,66C,1,1
1170,IPC,379,1,1
1171,IPC,304A,1,1
1172,IPC,379,1,1
1174,IPC,302,1,1
1175,IPC,279,1,1
1176,IPC,304A,1,1
1178,IT,66D,1,1
1180,IPC,420,1,1
1181,IPC,420,1,1
1182,IPC,304A,1,1
1183,IPC,302,1,1
1186,IPC,304A,1,1
1187,IPC,379,1,1
1188,IPC,420,1,1
1189,IPC,420,1,1
1190,NDPS,21,1,1
1191,IPC,302,1,1
1192,NDPS,21,1,1
1193,NDPS,20,1,1
1194,IPC,304A,1,1
1195,IPC,304A,1,1
1196,IPC,420,1,1
1197,IPC,379,1,1
1198,IT,66C,1,1
1199,IPC,302,1,1
1200,NDPS,21,1,1
1201,IPC,279,1,1
1202,IT,66C,1,1
1204,IPC,279,1,1
1205,NDPS,20,1,1
1206,IT,66C,1,1
1207,IT,66D,1,1
1208,IT,66C,1,1
1209,IPC,379,1,1
1210,NDPS,21,1,1
1211,NDPS,20,1,1
1212,NDPS,20,1,1
1213,IPC,307,1,1
1214,IPC,307,1,1
1215,IPC,304A,1,1
1219,IT,66D,1,1
1221,IPC,302,1,1
1223,IPC,379,1,1
1224,IPC,302,1,1
1225,IT,66D,1,1
1227,IPC,307,1,1
1228,IPC,307,1,1
1229,IPC,420,1,1
1230,IPC,379,1,1
1231,IT,66C,1,1
1232,IPC,302,1,1
1235,IPC,302,1,1
1236,IPC,379,1,1
1237,IPC,304A,1,1
1238,IT,66C,1,1
1239,IPC,304A,1,1
1240,IT,66C,1,1
1242,IT,66D,1,1
1243,IPC,420,1,1
1244,IT,66D,1,1
1245,NDPS,20,1,1
1246,IPC,420,1,1
1247,IT,66D,1,1
1248,IPC,420,1,1
1249,IPC,420,1,1
1250,IPC,279,1,1
1252,IT,66C,1,1
1253,NDPS,21,1,1
1254,NDPS,21,1,1
1255,IPC,307,1,1
1256,IT,66D,1,1
1257,IPC,307,1,1
1258,IPC,302,1,1
1259,IPC,307,1,1
1260,NDPS,20,1,1
1261,NDPS,20,1,1
1262,IPC,379,1,1
1263,IPC,302,1,1
1264,IPC,307,1,1
1265,NDPS,20,1,1
1266,IT,66C,1,1
1267,IPC,307,1,1
1269,IPC,302,1,1
1270,IPC,420,1,1
1271,IPC,279,1,1
1272,IPC,420,1,1
1273,IT,66C,1,1
1274,IPC,379,1,1
1275,IT,66C,1,1
1277,IPC,379,1,1
1279,IPC,420,1,1
1281,IPC,379,1,1
1282,IPC,420,1,1
1285,IPC,279,1,1
1286,IT,66C,1,1
