ArrestSurrenderID,CaseMasterID,ArrestSurrenderTypeID,ArrestSurrenderDate,ArrestSurrenderStateId,ArrestSurrenderDistrictId,PoliceStationID,IOID,CourtID,AccusedMasterID,IsAccused,IsComplainantAccused
128,234,1,2026-07-07,1,10,75,151,38,598,1,0
129,237,1,2020-01-05,1,13,69,36,32,605,1,0
130,237,1,2020-01-06,1,28,69,36,32,606,1,0
131,237,1,2020-01-20,1,25,69,36,32,607,1,0
132,239,1,2023-06-06,1,30,41,449,21,610,1,0
133,255,1,2020-05-13,1,8,100,411,48,654,1,0
134,255,1,2020-05-19,1,17,100,411,48,655,1,0
135,258,1,2026-05-03,1,8,88,56,39,660,1,0
136,258,1,2026-05-19,1,3,88,56,39,662,1,0
137,258,1,2026-05-31,1,15,88,56,39,663,1,0
138,260,1,2020-05-17,1,17,213,426,104,667,1,0
139,260,1,2020-05-01,1,2,213,426,104,668,1,0
140,262,1,2020-05-13,1,29,106,161,54,671,1,0
141,262,1,2020-05-19,1,4,106,161,54,672,1,0
142,262,1,2020-06-10,1,23,106,161,54,673,1,0
143,267,1,2023-08-18,1,9,171,240,82,685,1,0
144,267,1,2023-09-01,1,10,171,240,82,686,1,0
145,267,1,2023-08-24,1,14,171,240,82,687,1,0
146,268,1,2021-11-25,1,8,102,47,45,688,1,0
147,268,1,2021-11-13,1,1,102,47,45,689,1,0
148,269,1,2024-04-30,1,17,77,454,37,690,1,0
149,269,1,2024-04-19,1,17,77,454,37,691,1,0
150,269,1,2024-04-09,1,11,77,454,37,692,1,0
151,272,1,2025-05-27,1,23,255,76,129,698,1,0
152,272,1,2025-05-20,1,17,255,76,129,699,1,0
153,275,1,2024-01-19,1,5,242,59,122,709,1,0
154,275,1,2024-01-23,1,1,242,59,122,710,1,0
155,275,1,2024-01-22,1,25,242,59,122,711,1,0
156,276,1,2021-07-11,1,19,224,80,115,713,1,0
157,276,1,2021-07-21,1,21,224,80,115,714,1,0
158,289,1,2021-03-10,1,28,95,387,43,746,1,0
159,298,1,2026-09-10,1,5,96,470,43,768,1,0
160,298,1,2026-08-25,1,24,96,470,43,769,1,0
161,300,1,2026-10-06,1,8,92,256,42,774,1,0
162,300,1,2026-10-03,1,22,92,256,42,775,1,0
163,300,1,2026-09-23,1,8,92,256,42,776,1,0
164,300,1,2026-09-29,1,21,92,256,42,777,1,0
165,303,1,2026-03-03,1,14,234,314,119,782,1,0
166,310,1,2026-02-04,1,27,138,168,70,803,1,0
167,310,1,2026-01-18,1,5,138,168,70,804,1,0
168,310,1,2026-02-04,1,18,138,168,70,805,1,0
169,314,1,2021-09-13,1,23,57,149,19,813,1,0
170,314,1,2021-10-10,1,25,57,149,19,814,1,0
171,314,1,2021-09-25,1,19,57,149,19,815,1,0
172,317,1,2025-12-27,1,22,187,30,95,821,1,0
173,327,1,2021-09-26,1,26,142,279,72,843,1,0
174,331,1,2024-12-21,1,27,61,15,27,855,1,0
175,331,1,2024-12-20,1,3,61,15,27,856,1,0
176,332,1,2023-06-26,1,27,51,172,18,857,1,0
177,332,1,2023-07-06,1,20,51,172,18,859,1,0
178,332,1,2023-06-24,1,20,51,172,18,860,1,0
179,333,1,2025-11-24,1,25,236,248,117,861,1,0
180,333,1,2025-11-27,1,6,236,248,117,862,1,0
181,334,1,2025-05-05,1,24,67,329,31,864,1,0
182,334,1,2025-04-23,1,5,67,329,31,865,1,0
183,334,1,2025-04-21,1,19,67,329,31,866,1,0
184,337,1,2026-08-28,1,29,101,190,46,875,1,0
185,341,1,2026-11-18,1,17,151,245,75,884,1,0
186,341,1,2026-12-06,1,14,151,245,75,885,1,0
187,344,1,2026-12-27,1,18,1,22,1,890,1,0
188,344,1,2026-12-11,1,15,1,22,1,891,1,0
189,347,1,2026-11-15,1,21,109,204,52,895,1,0
190,349,1,2023-05-06,1,1,103,463,47,897,1,0
191,350,1,2025-11-20,1,22,86,233,39,898,1,0
192,353,1,2020-03-07,1,24,6,5,2,907,1,0
193,353,1,2020-03-17,1,8,6,5,2,908,1,0
194,355,1,2020-01-12,1,10,13,214,8,913,1,0
195,355,1,2020-02-02,1,7,13,214,8,914,1,0
196,356,1,2026-11-20,1,7,238,72,118,915,1,0
197,356,1,2026-11-15,1,15,238,72,118,916,1,0
198,356,1,2026-11-21,1,13,238,72,118,917,1,0
199,357,1,2024-02-16,1,23,132,385,66,918,1,0
200,357,1,2024-02-16,1,15,132,385,66,919,1,0
201,358,1,2022-09-20,1,28,88,21,39,920,1,0
202,361,1,2022-01-09,1,12,259,362,130,927,1,0
203,361,1,2022-01-04,1,25,259,362,130,928,1,0
204,361,1,2022-01-14,1,1,259,362,130,929,1,0
205,368,1,2024-07-31,1,16,240,199,119,942,1,0
206,368,1,2024-08-05,1,18,240,199,119,943,1,0
207,371,1,2022-04-09,1,10,105,277,54,951,1,0
208,371,1,2022-04-06,1,17,105,277,54,952,1,0
209,371,1,2022-03-22,1,2,105,277,54,953,1,0
210,375,1,2025-05-03,1,1,213,426,102,963,1,0
211,375,1,2025-05-25,1,21,213,426,102,964,1,0
212,375,1,2025-05-20,1,28,213,426,102,965,1,0
213,388,1,2025-11-01,1,3,115,347,56,990,1,0
214,388,1,2025-10-20,1,26,115,347,56,991,1,0
215,388,1,2025-10-15,1,26,115,347,56,992,1,0
216,389,1,2026-10-08,1,13,74,307,35,994,1,0
217,397,1,2022-04-12,1,25,106,53,53,1012,1,0
218,397,1,2022-04-23,1,18,106,53,53,1013,1,0
219,397,1,2022-04-12,1,1,106,53,53,1015,1,0
220,399,1,2021-09-17,1,6,178,174,87,1017,1,0
221,399,1,2021-09-05,1,13,178,174,87,1018,1,0
222,399,1,2021-09-16,1,16,178,174,87,1019,1,0
223,404,1,2026-02-12,1,17,170,473,80,1026,1,0
224,404,1,2026-02-07,1,8,170,473,80,1028,1,0
225,404,1,2026-02-06,1,16,170,473,80,1029,1,0
226,408,1,2020-06-25,1,13,94,51,43,1035,1,0
227,408,1,2020-06-19,1,13,94,51,43,1036,1,0
228,409,1,2024-04-09,1,14,249,137,125,1037,1,0
229,409,1,2024-04-16,1,22,249,137,125,1038,1,0
230,410,1,2023-11-21,1,30,85,255,40,1039,1,0
231,410,1,2023-10-31,1,10,85,255,40,1040,1,0
232,410,1,2023-11-11,1,13,85,255,40,1041,1,0
233,410,1,2023-11-15,1,8,85,255,40,1042,1,0
234,416,1,2023-01-18,1,19,100,450,47,1060,1,0
235,416,1,2023-01-09,1,5,100,450,47,1061,1,0
236,417,1,2023-07-18,1,25,140,437,70,1062,1,0
237,417,1,2023-07-13,1,28,140,437,70,1063,1,0
238,417,1,2023-07-19,1,17,140,437,70,1064,1,0
239,429,1,2020-12-06,1,9,118,170,55,1091,1,0
240,429,1,2020-12-29,1,15,118,170,55,1092,1,0
241,430,1,2021-07-13,1,16,6,482,2,1093,1,0
242,442,1,2022-02-04,1,24,105,496,51,1127,1,0
243,442,1,2022-01-24,1,21,105,496,51,1129,1,0
244,443,1,2026-04-17,1,8,208,360,103,1130,1,0
245,443,1,2026-04-19,1,10,208,360,103,1131,1,0
246,445,1,2022-10-08,1,22,144,43,72,1135,1,0
247,452,1,2025-10-28,1,20,254,10,129,1155,1,0
248,452,1,2025-10-09,1,16,254,10,129,1156,1,0
249,452,1,2025-10-07,1,13,254,10,129,1157,1,0
250,452,1,2025-10-22,1,7,254,10,129,1158,1,0
251,453,1,2020-12-05,1,16,251,384,126,1159,1,0
252,453,1,2020-12-09,1,18,251,384,126,1160,1,0
253,453,1,2020-11-26,1,16,251,384,126,1161,1,0
254,454,1,2026-03-18,1,4,233,328,119,1162,1,0
255,454,1,2026-03-18,1,9,233,328,119,1163,1,0
256,454,1,2026-03-30,1,12,233,328,119,1164,1,0
257,457,1,2026-10-13,1,17,9,87,3,1170,1,0
258,459,1,2021-08-02,1,3,152,117,73,1175,1,0
259,468,1,2020-03-26,1,5,199,101,101,1191,1,0
260,468,1,2020-03-31,1,18,199,101,101,1192,1,0
261,471,1,2026-11-16,1,4,36,381,17,1196,1,0
262,471,1,2026-11-16,1,3,36,381,17,1197,1,0
263,471,1,2026-11-24,1,15,36,381,17,1198,1,0
264,471,1,2026-11-21,1,10,36,381,17,1199,1,0
265,483,1,2026-06-15,1,30,207,291,102,1227,1,0
266,483,1,2026-06-08,1,15,207,291,102,1228,1,0
267,486,1,2021-09-12,1,30,40,402,17,1234,1,0
268,486,1,2021-08-24,1,18,40,402,17,1235,1,0
269,487,1,2021-10-25,1,8,18,481,6,1236,1,0
270,487,1,2021-10-23,1,31,18,481,6,1237,1,0
271,487,1,2021-10-25,1,7,18,481,6,1238,1,0
272,488,1,2021-10-19,1,29,47,345,20,1239,1,0
273,492,1,2020-07-20,1,31,257,3,130,1249,1,0
274,496,1,2021-02-14,1,23,8,139,3,1260,1,0
275,496,1,2021-03-11,1,22,8,139,3,1262,1,0
276,501,1,2021-12-01,1,30,178,174,86,1274,1,0
277,501,1,2021-11-21,1,29,178,174,86,1275,1,0
278,501,1,2021-12-04,1,24,178,174,86,1276,1,0
279,502,1,2025-06-20,1,27,128,132,67,1278,1,0
280,502,1,2025-06-23,1,23,128,132,67,1279,1,0
281,505,1,2025-03-15,1,29,199,316,97,1285,1,0
282,505,1,2025-03-04,1,11,199,316,97,1286,1,0
283,506,1,2021-12-13,1,14,83,315,40,1289,1,0
284,513,1,2025-11-06,1,31,120,424,56,1303,1,0
285,514,1,2023-07-20,1,17,103,463,45,1304,1,0
286,515,1,2022-10-21,1,13,136,10,70,1305,1,0
287,515,1,2022-11-17,1,4,136,10,70,1306,1,0
288,515,1,2022-11-15,1,21,136,10,70,1307,1,0
289,515,1,2022-10-29,1,4,136,10,70,1308,1,0
290,516,1,2026-09-11,1,21,106,12,51,1309,1,0
291,516,1,2026-09-11,1,29,106,12,51,1311,1,0
292,516,1,2026-09-05,1,9,106,12,51,1312,1,0
293,517,1,2022-09-18,1,19,248,92,127,1313,1,0
294,523,1,2026-08-04,1,20,180,430,92,1329,1,0
295,528,1,2020-02-22,1,9,236,248,119,1344,1,0
296,528,1,2020-01-31,1,13,236,248,119,1345,1,0
297,537,1,2021-07-05,1,21,163,134,79,1363,1,0
298,537,1,2021-07-07,1,9,163,134,79,1364,1,0
299,538,1,2024-11-15,1,8,79,181,39,1366,1,0
300,538,1,2024-11-15,1,7,79,181,39,1367,1,0
301,538,1,2024-11-14,1,5,79,181,39,1368,1,0
302,539,1,2020-11-19,1,5,193,236,95,1369,1,0
303,539,1,2020-11-17,1,12,193,236,95,1370,1,0
304,539,1,2020-12-02,1,26,193,236,95,1371,1,0
305,549,1,2025-05-22,1,10,253,282,129,1397,1,0
306,549,1,2025-05-14,1,12,253,282,129,1399,1,0
307,549,1,2025-05-22,1,12,253,282,129,1400,1,0
308,550,1,2026-06-20,1,23,185,104,90,1401,1,0
309,554,1,2022-06-15,1,28,113,79,55,1411,1,0
310,557,1,2022-10-19,1,21,258,86,130,1423,1,0
311,561,1,2020-03-03,1,25,30,244,20,1430,1,0
312,561,1,2020-03-24,1,28,30,244,20,1431,1,0
313,561,1,2020-03-15,1,27,30,244,20,1432,1,0
314,571,1,2020-02-05,1,5,90,427,42,1456,1,0
315,571,1,2020-02-05,1,12,90,427,42,1457,1,0
316,571,1,2020-02-05,1,8,90,427,42,1458,1,0
317,571,1,2020-01-28,1,31,90,427,42,1459,1,0
318,576,1,2025-03-21,1,17,177,276,87,1472,1,0
319,589,1,2023-11-10,1,3,24,452,11,1503,1,0
320,589,1,2023-10-13,1,1,24,452,11,1504,1,0
321,589,1,2023-11-06,1,16,24,452,11,1505,1,0
322,593,1,2024-07-07,1,30,163,223,79,1513,1,0
323,593,1,2024-07-15,1,17,163,223,79,1514,1,0
324,593,1,2024-07-08,1,1,163,223,79,1516,1,0
325,595,1,2025-06-27,1,1,2,483,1,1518,1,0
326,595,1,2025-06-12,1,30,2,483,1,1520,1,0
327,605,1,2023-08-31,1,15,125,195,59,1541,1,0
328,605,1,2023-09-16,1,21,125,195,59,1542,1,0
329,611,1,2024-11-24,1,28,6,5,2,1557,1,0
330,611,1,2024-12-05,1,30,6,5,2,1558,1,0
331,613,1,2026-10-11,1,23,125,195,60,1562,1,0
332,613,1,2026-09-25,1,10,125,195,60,1563,1,0
333,613,1,2026-10-14,1,27,125,195,60,1564,1,0
334,616,1,2025-10-08,1,16,251,384,126,1571,1,0
335,621,1,2021-01-18,1,7,39,226,17,1584,1,0
336,621,1,2021-01-07,1,10,39,226,17,1585,1,0
337,626,1,2022-08-25,1,1,88,457,40,1598,1,0
338,626,1,2022-08-03,1,22,88,457,40,1599,1,0
339,627,1,2021-02-12,1,12,118,170,56,1601,1,0
340,634,1,2025-12-13,1,2,133,286,67,1615,1,0
341,637,1,2022-04-08,1,31,125,195,62,1618,1,0
342,638,1,2021-04-16,1,10,252,267,127,1619,1,0
343,638,1,2021-03-20,1,10,252,267,127,1620,1,0
344,639,1,2020-02-09,1,17,193,236,94,1621,1,0
345,639,1,2020-02-23,1,22,193,236,94,1622,1,0
346,644,1,2020-07-30,1,6,222,23,107,1631,1,0
347,644,1,2020-08-05,1,30,222,23,107,1633,1,0
348,661,1,2021-08-14,1,14,190,272,94,1678,1,0
349,661,1,2021-07-28,1,16,190,272,94,1679,1,0
350,661,1,2021-08-02,1,1,190,272,94,1680,1,0
351,661,1,2021-07-29,1,29,190,272,94,1681,1,0
352,663,1,2026-04-25,1,10,218,392,107,1683,1,0
353,664,1,2020-07-19,1,27,157,435,79,1684,1,0
354,674,1,2022-07-12,1,5,147,493,73,1704,1,0
355,674,1,2022-07-16,1,2,147,493,73,1705,1,0
356,675,1,2021-04-05,1,23,88,280,40,1706,1,0
357,675,1,2021-03-27,1,9,88,280,40,1707,1,0
358,675,1,2021-04-04,1,25,88,280,40,1708,1,0
359,675,1,2021-03-27,1,14,88,280,40,1709,1,0
360,676,1,2020-12-04,1,18,71,323,32,1710,1,0
361,676,1,2020-11-18,1,20,71,323,32,1711,1,0
362,676,1,2020-12-05,1,6,71,323,32,1712,1,0
363,676,1,2020-11-13,1,4,71,323,32,1713,1,0
364,677,1,2023-10-15,1,23,138,168,70,1714,1,0
365,677,1,2023-10-21,1,11,138,168,70,1715,1,0
366,677,1,2023-10-23,1,11,138,168,70,1716,1,0
367,682,1,2021-03-29,1,29,78,58,39,1731,1,0
368,682,1,2021-03-17,1,25,78,58,39,1732,1,0
369,682,1,2021-04-07,1,24,78,58,39,1734,1,0
370,686,1,2025-03-26,1,11,163,223,78,1742,1,0
371,695,1,2023-11-19,1,30,43,341,16,1763,1,0
372,695,1,2023-11-25,1,27,43,341,16,1764,1,0
373,695,1,2023-11-27,1,26,43,341,16,1765,1,0
374,698,1,2025-01-25,1,21,222,57,106,1770,1,0
375,698,1,2025-02-17,1,19,222,57,106,1771,1,0
376,709,1,2023-01-08,1,8,228,67,112,1800,1,0
377,716,1,2021-06-02,1,12,66,212,32,1814,1,0
378,716,1,2021-06-14,1,21,66,212,32,1815,1,0
379,716,1,2021-05-24,1,22,66,212,32,1816,1,0
380,716,1,2021-05-29,1,16,66,212,32,1817,1,0
381,718,1,2022-01-23,1,22,37,297,17,1822,1,0
382,718,1,2022-01-12,1,2,37,297,17,1823,1,0
383,719,1,2026-09-28,1,31,168,146,82,1824,1,0
384,719,1,2026-10-02,1,4,168,146,82,1825,1,0
385,719,1,2026-10-08,1,25,168,146,82,1826,1,0
386,720,1,2021-09-22,1,19,177,276,87,1827,1,0
387,720,1,2021-10-15,1,23,177,276,87,1828,1,0
388,726,1,2024-03-16,1,21,196,486,95,1839,1,0
389,726,1,2024-03-24,1,17,196,486,95,1840,1,0
390,727,1,2023-09-03,1,10,248,92,126,1841,1,0
391,727,1,2023-08-23,1,3,248,92,126,1842,1,0
392,728,1,2024-09-24,1,19,204,183,97,1844,1,0
393,728,1,2024-10-05,1,1,204,183,97,1845,1,0
394,728,1,2024-10-13,1,4,204,183,97,1846,1,0
395,734,1,2022-03-06,1,30,219,312,109,1859,1,0
396,737,1,2023-09-08,1,26,179,141,93,1866,1,0
397,737,1,2023-08-19,1,19,179,141,93,1868,1,0
398,741,1,2021-03-30,1,29,70,153,32,1873,1,0
399,741,1,2021-03-15,1,1,70,153,32,1874,1,0
400,744,1,2023-02-27,1,24,224,411,112,1878,1,0
401,749,1,2021-12-02,1,14,132,385,68,1888,1,0
402,749,1,2021-12-29,1,30,132,385,68,1889,1,0
403,749,1,2021-12-05,1,15,132,385,68,1890,1,0
404,749,1,2021-12-19,1,2,132,385,68,1891,1,0
405,756,1,2021-06-06,1,3,147,103,73,1908,1,0
406,756,1,2021-06-11,1,7,147,103,73,1909,1,0
407,758,1,2021-06-09,1,31,34,308,21,1914,1,0
408,758,1,2021-05-27,1,20,34,308,21,1915,1,0
409,767,1,2025-10-29,1,2,79,257,39,1940,1,0
410,767,1,2025-11-11,1,9,79,257,39,1941,1,0
411,767,1,2025-10-22,1,20,79,257,39,1942,1,0
412,772,1,2024-05-23,1,29,52,84,20,1954,1,0
413,772,1,2024-06-05,1,8,52,84,20,1955,1,0
414,772,1,2024-06-06,1,10,52,84,20,1956,1,0
415,777,1,2023-09-11,1,9,29,29,21,1965,1,0
416,778,1,2021-04-01,1,8,220,235,106,1966,1,0
417,778,1,2021-04-02,1,31,220,235,106,1967,1,0
418,778,1,2021-03-13,1,6,220,235,106,1968,1,0
419,779,1,2024-09-19,1,23,169,34,80,1969,1,0
420,779,1,2024-09-27,1,29,169,34,80,1970,1,0
421,779,1,2024-10-08,1,6,169,34,80,1971,1,0
422,779,1,2024-09-17,1,19,169,34,80,1972,1,0
423,787,1,2023-10-25,1,4,181,449,91,1991,1,0
424,791,1,2020-08-02,1,18,50,268,16,2001,1,0
425,791,1,2020-08-11,1,16,50,268,16,2002,1,0
426,793,1,2022-11-17,1,22,92,343,41,2005,1,0
427,797,1,2025-11-14,1,12,129,440,68,2017,1,0
428,797,1,2025-11-29,1,31,129,440,68,2018,1,0
429,807,1,2025-07-25,1,5,246,320,121,2042,1,0
430,807,1,2025-08-17,1,29,246,320,121,2043,1,0
431,809,1,2020-07-05,1,14,154,124,79,2047,1,0
432,813,1,2026-07-24,1,21,206,359,98,2056,1,0
433,813,1,2026-08-13,1,12,206,359,98,2057,1,0
434,813,1,2026-07-30,1,26,206,359,98,2058,1,0
435,815,1,2024-02-20,1,5,199,316,97,2061,1,0
436,816,1,2026-05-02,1,12,109,185,51,2062,1,0
437,816,1,2026-04-23,1,25,109,185,51,2063,1,0
438,816,1,2026-05-02,1,8,109,185,51,2064,1,0
439,831,1,2020-06-20,1,8,73,203,38,2098,1,0
440,831,1,2020-06-24,1,8,73,203,38,2099,1,0
441,834,1,2023-01-03,1,5,34,308,21,2105,1,0
442,834,1,2022-12-28,1,15,34,308,21,2106,1,0
443,834,1,2022-12-31,1,3,34,308,21,2107,1,0
444,843,1,2023-03-23,1,29,254,322,128,2129,1,0
445,843,1,2023-04-03,1,6,254,322,128,2130,1,0
446,843,1,2023-03-11,1,13,254,322,128,2131,1,0
447,851,1,2022-05-27,1,16,246,320,120,2151,1,0
448,852,1,2020-12-01,1,3,120,424,56,2153,1,0
449,852,1,2020-12-27,1,2,120,424,56,2154,1,0
450,859,1,2024-08-08,1,5,247,348,127,2169,1,0
451,859,1,2024-07-29,1,19,247,348,127,2170,1,0
452,859,1,2024-07-26,1,2,247,348,127,2171,1,0
453,859,1,2024-07-26,1,8,247,348,127,2172,1,0
454,865,1,2023-12-17,1,17,31,223,17,2185,1,0
455,865,1,2023-11-26,1,29,31,223,17,2186,1,0
456,867,1,2025-05-30,1,20,186,363,94,2190,1,0
457,867,1,2025-05-28,1,19,186,363,94,2191,1,0
458,867,1,2025-06-04,1,31,186,363,94,2192,1,0
459,867,1,2025-06-07,1,11,186,363,94,2193,1,0
460,874,1,2022-10-27,1,20,237,433,118,2209,1,0
461,874,1,2022-10-24,1,5,237,433,118,2210,1,0
462,874,1,2022-11-03,1,21,237,433,118,2211,1,0
463,874,1,2022-10-09,1,7,237,433,118,2212,1,0
464,875,1,2026-05-25,1,22,113,79,56,2214,1,0
465,875,1,2026-05-08,1,25,113,79,56,2215,1,0
466,892,1,2020-12-14,1,18,150,464,76,2260,1,0
